wahl_jahr;kanton_nummer;kanton_bezeichnung;partei_id;partei_bezeichnung_de;partei_bezeichnung_fr;partei_bezeichnung_it;partei_bezeichnung_en;anzahl_listen;anzahl_kandidierende;anzahl_kandidierende_f;anzahl_kandidierende_m;anzahl_gewaehlte;anzahl_gewaehlte_f;anzahl_gewaehlte_m;letzte_wahl_anzahl_gewaehlte;letzte_wahl_anzahl_gewaehlte_f;letzte_wahl_anzahl_gewaehlte_m;differenz_anzahl_gewaehlte;differenz_anzahl_gewaehlte_f;differenz_anzahl_gewaehlte_m;fiktive_waehlende;letzte_wahl_fiktive_waehlende;differenz_fiktive_waehlende;partei_staerke;letzte_wahl_partei_staerke;differenz_partei_staerke;flag_staerkste_partei;partei_rang
2019;21;Ticino;16;EDU;UDF;UDF;EDU;1;7;3;4;0;0;0;;;;0;0;0;1135.41116;;1135;1.056196428;;1.056196428;0;8
2019;21;Ticino;18;Lega;Lega;Lega;Lega;1;8;2;6;1;0;1;2;1;1;-1;-1;0;18196.981051;25220.777909;-7024;16.927424234;21.684660347;-4.757236113;0;3
2019;21;Ticino;31;GLP;PVL;PVL;GLP;1;8;3;5;0;0;0;0;0;0;0;0;0;1063.0609291;986.50120927;77;0.9888938875;0.8481873054;0.1407065821;0;9
2019;21;Ticino;35;Übrige;Autres;Rimanenti;Others;6;26;16;10;0;0;0;0;0;0;0;0;0;3905.6296666;2758.4528188;1147;3.6331438759;2.3716997419;1.261444134;0;7
2019;22;Vaud;1;FDP;PLR;PLR;FDP;3;57;22;35;5;2;3;5;1;4;0;1;-1;42839.647924;48358.289662;-5519;23.339751958;26.836494518;-3.49674256;1;1
2019;22;Vaud;2;CVP;PDC;PPD;CVP;2;29;6;23;0;0;0;1;0;1;-1;0;-1;4451.216084;7303.8170949;-2853;2.4250964783;4.0532626112;-1.628166133;0;7
2019;22;Vaud;3;SP;PS;PS;SP;2;38;20;18;5;2;3;5;4;1;0;-2;2;37421.225438;40011.127017;-2590;20.387705362;22.204225964;-1.816520602;0;2
2019;22;Vaud;4;SVP;UDC;UDC;SVP;2;38;8;30;3;0;3;4;0;4;-1;0;-1;31898.226938;40649.514084;-8751;17.378684016;22.55849968;-5.179815664;0;4
2019;22;Vaud;7;EVP;PEV;PEV;EVP;1;19;5;14;0;0;0;0;0;0;0;0;0;2386.2590886;1911.6338854;475;1.3000735985;1.0608636626;0.239209936;0;9
2019;22;Vaud;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;2;38;19;19;0;0;0;0;0;0;0;0;0;7467.5280734;5184.4129958;2283;4.0684333653;2.8770966036;1.1913367617;0;6
2019;22;Vaud;13;GPS;PES;PES;GPS;2;38;19;19;4;3;1;2;0;2;2;3;-1;36117.839341;20272.672258;15845;19.677598961;11.250345323;8.4272536379;0;3
2019;22;Vaud;14;SD;DS;DS;SD;1;9;3;6;0;0;0;0;0;0;0;0;0;131.73439922;231.72181825;-100;0.0717710894;0.1285943185;-0.056823229;0;12
2019;22;Vaud;16;EDU;UDF;UDF;EDU;1;8;1;7;0;0;0;0;0;0;0;0;0;609.60296115;1258.9099912;-649;0.3321218216;0.6986337051;-0.366511883;0;11
2019;22;Vaud;31;GLP;PVL;PVL;GLP;2;38;16;22;2;1;1;1;1;0;1;0;1;15368.021402;7012.9274173;8355;8.3727533954;3.8918330137;4.4809203818;0;5
2019;22;Vaud;32;BDP;PBD;PBD;BDP;1;12;3;9;0;0;0;0;0;0;0;0;0;690.2125114;3258.783636;-2569;0.3760392439;1.8084661347;-1.432426891;0;10
2019;22;Vaud;35;Übrige;Autres;Rimanenti;Others;5;50;22;28;0;0;0;0;0;0;0;0;0;4166.4858405;4742.1901396;-576;2.2699707109;2.6316844656;-0.361713755;0;8
2019;23;Valais / Wallis;1;FDP;PLR;PLR;FDP;8;41;17;24;1;0;1;1;0;1;0;0;0;19598.5483;22808.267532;-3210;16.481001968;18.137787301;-1.656785334;0;3
2019;23;Valais / Wallis;2;CVP;PDC;PPD;CVP;8;46;13;33;3;0;3;4;2;2;-1;-2;1;41364.248057;50035.731565;-8671;34.784426029;39.789846175;-5.005420146;1;1
2019;23;Valais / Wallis;3;SP;PS;PS;SP;8;42;22;20;1;0;1;1;0;1;0;0;0;17916.724575;16670.346113;1246;15.066706393;13.256736472;1.8099699216;0;4
2019;23;Valais / Wallis;4;SVP;UDC;UDC;SVP;8;52;8;44;2;0;2;2;0;2;0;0;0;23516.728566;27844.285551;-4328;19.775916248;22.142573003;-2.366656754;0;2
2019;23;Valais / Wallis;8;CSP;PCS;PCS;CSP;2;12;5;7;0;0;0;0;0;0;0;0;0;1225.4270324;1778.0395731;-553;1.0304980258;1.4139479707;-0.383449945;0;7
2019;23;Valais / Wallis;13;GPS;PES;PES;GPS;4;32;20;12;1;0;1;0;0;0;1;0;1;12591.246827;6147.2131995;6444;10.588353818;4.8884399201;5.6999138981;0;5
2019;23;Valais / Wallis;31;GLP;PVL;PVL;GLP;1;6;2;4;0;0;0;;;;0;0;0;946.82240495;;947;0.7962111112;;0.7962111112;0;8
2019;23;Valais / Wallis;35;Übrige;Autres;Rimanenti;Others;1;5;3;2;0;0;0;0;0;0;0;0;0;1756.2542388;466.11646623;1290;1.4768864062;0.370669158;1.1062172482;0;6
2019;24;Neuchâtel;1;FDP;PLR;PLR;FDP;2;8;2;6;1;0;1;1;0;1;0;0;0;9889.582481;11135.427268;-1246;22.348833882;24.425153033;-2.076319151;1;1
2019;24;Neuchâtel;2;CVP;PDC;PPD;CVP;1;3;1;2;0;0;0;0;0;0;0;0;0;1846.5247732;1627.4894268;219;4.1728430391;3.5698386199;0.6030044191;0;7
2019;24;Neuchâtel;3;SP;PS;PS;SP;2;8;3;5;1;0;1;1;0;1;0;0;0;7360.773009;10786.081525;-3425;16.634139362;23.658875904;-7.024736542;0;3
2019;24;Neuchâtel;4;SVP;UDC;UDC;SVP;2;6;2;4;0;0;0;1;0;1;-1;0;-1;5601.6232251;9293.307123;-3692;12.658749463;20.384529772;-7.725780308;0;5
2019;24;Neuchâtel;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;2;8;4;4;1;0;1;1;0;1;0;0;0;6249.9709715;5571.7728436;678;14.123909;12.221480245;1.902428755;0;4
2019;24;Neuchâtel;13;GPS;PES;PES;GPS;1;4;2;2;1;0;1;0;0;0;1;0;1;9207.8043039;4243.9038397;4964;20.808127057;9.3088480801;11.499278977;0;2
2019;24;Neuchâtel;31;GLP;PVL;PVL;GLP;2;8;4;4;0;0;0;0;0;0;0;0;0;4012.4114637;1543.007123;2469;9.0673916154;3.3845297718;5.6828618436;0;6
2019;24;Neuchâtel;32;BDP;PBD;PBD;BDP;;;;;;;;0;0;0;0;0;0;;436.87245409;-437;;0.958263773;-0.958263773;;
2019;24;Neuchâtel;35;Übrige;Autres;Rimanenti;Others;1;1;0;1;0;0;0;0;0;0;0;0;0;82.3097725;952.13839733;-870;0.1860065818;2.0884808013;-1.90247422;0;8
